ARS_SUBJECT,CODE_STATUS,CODE_LEVEL,ID
All items specified by: 5A001; 5B001 other than for items in 5A101; 5D001 other than for items in 5A101; and 5E001 other than for items in 5A101,ACTIVE,0,924db09d-9590-4943-8197-baeed9a0898d
All items specified by: 5A002; 5B002; 5D002 and 5E002,ACTIVE,0,263eb4a1-cc3f-47f3-a858-ab8d7109acfc
CS hand grenades,ACTIVE,1,76ef94c6-5b2e-4f0b-924e-d250f65fa0e0
Items specified in Schedule 2 of the Export Control Order 2008 excluding: [1] Complete vehicles vessels and aircraft; [2] Goods specified by PL5001; [3] Chemicals specified in the Chemical Weapons Convention [Schedule 1]; [4] Equipment and components therefor for the dissemination of chemicals in exclusion [3] above; [5] Anti-personnel landmines and components therefor; [6] Goods specified in Category I of the Missile Technology Control Regime; [7] MANPADS and components therefor; [8] Components for Unmanned Airborne Vehicles; [9] Nuclear explosive devices and materials; [10] Enriched Boron; [11] Nuclear power generating and propulsion equipment; [12] Nuclear reactors; [13] Test models for the development of items listed above; [14] Equipment for the production of items listed above; [15] Software and technology for the development or production or use of items listed above,ACTIVE,0,72fa7c9e-07c0-436f-b258-4ddfca51aa18
Laser materials,ACTIVE,1,8ff2ecfe-91a8-4198-8421-966fe4ee8ff4
Libyan bank notes and coins,ACTIVE,1,d0199ece-9e29-48da-adfc-2b42281b94d5
NBC decontamination chemical mixtures,ACTIVE,1,6234f420-090d-41c2-9293-3389165d12a8
NBC decontamination equipment,ACTIVE,1,5dad10b2-e746-4dbd-bed1-6b0150283ad7
NBC detection equipment,ACTIVE,1,e19803af-91b8-4155-8f7a-6975033bf695
NBC dissemination equipment,ACTIVE,1,746001a3-5a30-4941-ac52-c98d58fe7aad
NBC protective/defensive equipment,ACTIVE,1,750a5697-fa0f-40ae-bfec-937c8b85ed2b
RF direction finding equipment,ACTIVE,1,0a39801f-e00b-4404-9b5d-ea19bb36155f
Rare-earth metal doped fibres,ACTIVE,1,e64ce63a-2412-49b0-b71c-8546039122a8
Software for modelling/simulating/evaluating weapon systems,ACTIVE,1,b4b68330-105d-4df3-86fa-8f00974924ec
Software for the alignment of mirrors,ACTIVE,1,58f9580c-2cc2-49c2-95a3-30b3ff05a5c3
Software specified by ML21a and Technology specified by ML22a of the Export Control Order 2008 relating to goods falling within the following entries - ML2 ML4 ML5 ML9 ML10f ML11 and ML15 EXCEPT goods falling within ML11 and ML17n insofar as they are for use in connection with cluster munitions and explosive submunitions and explosive bomblets,ACTIVE,0,854e00bb-b89f-47ae-8109-02229afc0d32
Software specified by ML21a and Technology specified by ML22a of the Export Control Order 2008 relating to goods falling within the following entries - ML5 ML9 ML11 ML15 ML16 ML17 EXCEPT goods falling within ML11 and ML17n insofar as they are for use in connection with cluster munitions and explosive submunitions and explosive bomblets,ACTIVE,0,e706d0ad-f98e-4010-89f8-319c52f8f58f
TV cameras and control equipment,ACTIVE,1,f9a98a7e-a2a8-4050-af16-11a283593ade
Technology specified by ML22a of the Export Control Order 2008 relating to goods falling within the following entries - ML5 ML9 ML11 ML15 ML16 ML17 EXCEPT goods falling within ML11 and ML17n insofar as they are for use in connection with cluster munitions and explosive submunitions and explosive bomblets,ACTIVE,0,570936ce-feef-4204-aa3a-a59c3948d0db
X-ray accelerators,ACTIVE,1,f4c42597-a1e9-4009-a280-e70e52c94b88
X-ray generators,ACTIVE,1,5b7f4b2f-40ec-4f7d-b392-7383d8192759
accelerometer-based hydro-acoustic sensors,ACTIVE,1,e98bfde8-b3f7-4ee6-94a6-4dd20a063588
accelerometers,ACTIVE,1,289f548f-bf07-448d-8042-36a5b10fd5f5
acoustic data processing software,ACTIVE,1,c09dc5cb-e632-4795-83be-dab9b819fa5f
acoustic devices for riot control,ACTIVE,1,2b5b08cd-8290-49e9-a05a-d3ac456d6abf
acoustic seabed survey equipment,ACTIVE,0,99508358-9486-45ce-8e75-e7d100f77d77
acoustic signature reduction materials,ACTIVE,1,ea249aa9-f48e-4316-8acc-e387e2da3918
acoustic vibration test equipment,ACTIVE,1,52860330-3cc4-4b37-9b42-c6f3fe953df0
acoustic wave devices,ACTIVE,1,9eecdc78-5fd4-475f-9d9d-87e294df1042
active motion control systems for marine vessel,ACTIVE,1,cdac1613-6ed7-42fd-add9-0b853d968774
adhesive,ACTIVE,1,9ed996f3-2090-4e80-bc6e-e9210c845340
adhesive tape,ACTIVE,1,4b68c052-5d06-4ed2-a8a0-97af5ef7742b
advanced telecommunications development equipment,ACTIVE,1,8e68c514-2f69-4218-b8a4-20e1bf0cbf18
aerial target equipment,ACTIVE,1,57d345af-45a8-4a52-9c55-4fc4b2e179ab
aero-engine assemblies,ACTIVE,1,aa0f3b9a-870d-40c4-8e45-11df9aae11c2
aero-engines for sustained supersonic flight,ACTIVE,1,14318801-6f6a-4274-a8a9-2ddcf7d5fe4a
aerosol generating unit arrays,ACTIVE,1,9318fb63-6064-43b9-9758-c4bb82881d9c
aerosol generating units,ACTIVE,1,36af52d8-1fc1-44d2-b9d8-ca55b83a4cb5
aerothermodynamic test facilities,ACTIVE,0,780376e1-3d85-4bea-bca8-efeaa874d98b
air defence systems,ACTIVE,1,9c25445f-e8f1-4e11-8760-672f6b75fa65
air launched rockets,ACTIVE,1,b4f168f6-3d16-4070-906c-faa46d7f4a04
air-to-air missiles,ACTIVE,1,0a7ea846-9226-4224-9560-1a089f5383cd
air-to-surface missiles,ACTIVE,1,6c4d34a8-fe25-49a7-91bd-1cde1c5ab679
airborne refuelling equipment,ACTIVE,1,f27c8604-f85e-4d25-90ac-c0da082599ed
aircraft bladders,ACTIVE,1,824b8cb3-a41b-46e5-bb80-aa6efef7b768
aircraft cannon ammunition,ACTIVE,1,03e07eae-83bf-4e3b-9feb-9a4cc45bffed
aircraft cannons,ACTIVE,1,481fc58d-2540-463d-80a9-f5053e63fd17
aircraft carriers,ACTIVE,1,89d730bd-cdf4-4291-957c-0c83da225990
aircraft diaphragms,ACTIVE,1,3275a4dd-e60a-4bd4-8292-4e0490523f91
aircraft for space launch vehicles,ACTIVE,0,3407d3fe-3b2a-40de-b013-370a6297960c
aircraft gaskets,ACTIVE,1,a3cdd090-0243-4f00-9082-39105a91c805
